treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),SASRec,NDCG@10,1655,0.04173093998685384,1.3418567287261191e-17,1.304845032072104e-10,0.0004997501249375312,0.21229139423215834,0.07994487089383998,331,5,0.006099372806576766,1.610228074471343e-16,1.5658140384865248e-09,0.006496751624187906,conflict_natural_strict
AIPA (full),STI-only,NDCG@10,1655,-0.013236849630023376,0.003256585893627182,0.026468184894420366,0.0029985007496251873,-0.07243357676260335,-0.020487582260110798,331,5,0.0060145372848882115,0.029309273042644638,0.2382136640497833,0.026986506746626684,conflict_natural_strict
AIPA (full),Sequential (GRU),NDCG@10,1655,0.030670971216617247,1.598339441041937e-10,1.5120428089600537e-07,0.0004997501249375312,0.15821393237175857,0.06418196255966994,331,5,0.005075416508986749,1.7581733851461306e-09,1.663247089856059e-06,0.006496751624187906,conflict_natural_strict
AIPA (full),AIPA (rule policy),Hit@10,6360,-0.0025157232704402514,0.5108404600723615,0.7133465894287039,0.5397301349325337,-0.00824538978733482,-0.002515723270440251,1272,5,0.011089086592770726,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o clarification,Hit@10,6360,0.0009433962264150943,0.7738711909871899,0.8879682732913667,0.8170914542728636,0.0036028660983257166,0.0009433962264150941,1272,5,0.006218150922416726,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o counterfactual,Hit@10,6360,0.0020440251572327044,0.5965666123914438,0.7656873818500558,0.6391804097951025,0.006637913095912688,0.002044025157232704,1272,5,0.010087430775060025,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o persistence,Hit@10,6360,0.0006289308176100629,0.6114913875130883,0.9208690865005079,0.6926536731634183,0.0063695720510056515,0.0006289308176100628,1272,5,0.003423198279414661,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o relationship,Hit@10,6360,0.0025157232704402514,0.5086845842710798,0.7131138892194955,0.5387306346826587,0.008287497064116717,0.002515723270440251,1272,5,0.010863858283097294,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Adaptive fusion,Hit@10,6360,-0.005974842767295598,0.13065694619298385,0.38562081438931295,0.1359320339830085,-0.01895572405078205,-0.005974842767295596,1272,5,0.009507054375994323,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Conversation-aware,Hit@10,6360,-0.0042452830188679245,0.32129940639841575,0.5437494740547753,0.3548225887056472,-0.012437283941963997,-0.004245283018867924,1272,5,0.007077218512532642,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),KBRD-style,Hit@10,6360,-0.015408805031446541,0.00042533845741515587,0.028253871309529523,0.0014992503748125937,-0.04420963783183586,-0.015408805031446537,1272,5,0.007384917336992061,0.003828046116736403,0.2542848417857657,0.013493253373313342,conflict_natural_broad
AIPA (full),LTP-only,Hit@10,6360,0.10660377358490566,8.868385421487555e-118,2.4783416772243342e-50,0.0004997501249375312,0.2954776070466722,0.10660377358490566,1272,5,0.005638497194038083,1.1528901047933821e-116,3.2218441803916346e-49,0.006496751624187906,conflict_natural_broad
AIPA (full),Naive fusion,Hit@10,6360,-0.0007861635220125787,0.8362437466904512,0.908512165717963,0.855072463768116,-0.002591975112498243,-0.0007861635220125784,1272,5,0.008275281362855828,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),SASRec,Hit@10,6360,0.07468553459119497,2.1680801768736786e-58,1.1804103425464533e-25,0.0004997501249375312,0.20409500001638528,0.07468553459119495,1272,5,0.011129143628419116,2.601696212248414e-57,1.416492411055744e-24,0.006496751624187906,conflict_natural_broad
AIPA (full),STI-only,Hit@10,6360,-0.016037735849056604,0.00010000934076081554,0.020854312867987224,0.0004997501249375312,-0.04881577320187868,-0.016037735849056586,1272,5,0.013056943076746349,0.0010000934076081554,0.20854312867987224,0.006496751624187906,conflict_natural_broad
